,Unnamed: 0,BETROFFENE_ANLAGE,Value,Latitude,Longitude
196,32,SHN Cluster Wilster West,Wilster,53.55,9.22
197,33,SHN Cluster Husum Nord,Husum Nord,54.4828,9.054
198,34,Reisach 3,Reisach,48.0443,12.1923
199,35,Reisach 1,Reisach,48.0443,12.1923
200,36,Reisach 2,Reisach,48.0443,12.1923
201,37,Niederrad 1,Niederrad,50.0837, 8.6444
202,38,Leitzach Pool,Leitzach (Miesbach),47.47,11.53
203,39,Netzreservekraftwerk HERNE_4,Herne,51.5369,7.2009
204,40,Netzreservekraftwerk BERGKAMEN_A,Bergkamen,51.6157,7.643
205,41,Netzreservekraftwerk SCHOLVEN_B,Scholven,51.5886,7.0256
206,42,Netzreservekraftwerk VOELKLINGEN_MKV,Völklingen,49.2556,6.8589
207,43,Netzreservekraftwerk VOELKLINGEN_HKV,Völklingen,49.2556,6.8589
208,44,SHN Cluster Kummerfeld,Kummerfeld,53.6916,9.7909
209,45,WP Jardelund,Jardelund,54.8254,9.2003
210,46,STUMMHAFEN_10,Lippholthausen,51.36,7.27
211,47,WALSUM_10,Walsum,51.5279,6.7238
212,48,50H_EDIS_CR_GUE_Nord,,,
213,49,50H_MNS_CR_MA_Nord,,,
214,50,50H_EDIS_CR_SOW_Nord,,,
215,51,SHN Cluster Jardelund,Jardelung,54.8254,9.2003
216,52,50H_EDIS_CR_NHG_Nord,,,
217,53,BERGKAMEN_A,Bergkamen,51.6157,7.643
218,54,50H UW Altentreptow,Altentreptow,53.6927,13.2453
219,55,KMW_KW3,Mainz,49.9929,8.2473
220,56,LAUSWARD_AGUD,Lausward,51.222,6.731
221,57,WEISWEILER_F_110,Weisweiler,50.8273,6.3147
222,58,HAMMUENTROP_10,Uentrop,51.6881,7.9465
223,59,KMW_KW5,Mainz,49.9929,8.2473
224,60,50H_MNS_CR_LAU_Nord,,,
225,61,OWP UW Dörpen-West,Dörpen West,52.982,7.2527
226,62,OWP Nordergründe,Nordergründe,53.5,8.1
227,63,GERSTEINW_GTG1 (KapRes),Werne,51.665,7.6314
228,64,WEISWEILER_VGTG3,Weisweiler,50.8273,6.3147
229,65,BIBLIS_GT (bnBm),Biblis,49.6883,8.4531
230,66,GERSTEINW_DTG2 (KapRes),Werne,51.665,7.6314
231,67,LEIPHEIM_10 (bnBm),Leipheim,48.4495,10.219
232,68,50H_MNS_CR_RAG,,,
233,69,50H UW Putlitz,Putlitz,53.2462,12.0427
234,70,50H UW Wustermark,Wustermark,52.5462,12.9382°
235,71,GERSTEINW_DTF2 (KapRes),Werne,51.665,7.6314
236,72,GERSTEINW_GTF1 (KapRes),Werne,51.665,7.6314
237,73,B¿rse,,,
238,74,WP Wilstermarsch,Wilstermarsch,53.9197,9.3611
239,75,50H OWP Baltic Eagle,Offshore,54.49,13.52
240,76,SHN Cluster Süderdonn T411,Sankt Michaelisdonn,53.9806,9.1138
241,77,SHN Cluster Süderdonn T412 T413,Sankt Michaelisdonn,53.9806,9.1138
242,78,50H PV Witznitz,Witznitz,51.9,12.29
243,79,OWP UW Diele,Diele,53.1209,7.3144
244,80,50H UW Wessin,Wessin,53.5731,11.7325
245,81,Wemag CAT Cluster Perleberg 003,Perleberg,53.082,11.8599
246,82,OWP UW Büttel,Büttel,53.8993,9.2285
247,83,50H OWP Wikinger,Wikinger Offshore,54.5,14.4
248,84,50H_EDIS_CR_NHG_Sued,,,
249,85,SCHOLVEN_B,Scholven,51.5886,7.0256
250,86,50H_WEMA_CR_GUE,,,
251,87,50H_EDIS_CR_SOW_Sued,,,
252,88,BASF-GESAMTEINSPEISG,Basf,49.477409,8.44518
253,89,50H UW Iven,Iven,53.7965,13.4292
254,90,WEISWEILERVGT_H3,Weisweiler,50.8273,6.3147
255,91,50H_MNS_CR_KLM,,,
256,92,50H OWP Arkona,Cape Arkona,54.6781,13.4266
257,93,GERSTEINW_K1,Werne,51.665,7.6314
258,94,50H_EDIS_CR_GSE,,,
